0,1,2,0,0
0,"RT @Daniel_Grigg: Wes Streeting should lose the Labour whip for calling Jeremy Corbyn ""senile"".

He should at least be sacked as shadow Hea…","rt danielgrigg wes streeting should lose the labour whip for calling jeremy corbyn senile

he should at least be sacked as shadow hea…",False,98.87%
1,The research cited in report looks at root causes of homelessness. The entry of young people into homelessness may… https://t.co/2jtNxcAHkd,the research cited in report looks at root causes of homelessness the entry of young people into homelessness may httpstco2jtnxcahkd,False,98.61%
2,"RT @_Janey_J: As govt and public health officials continue to dismiss, silence and attack doctors who speak about Covid-19  vaccine dangers…",rt janeyj as govt and public health officials continue to dismiss silence and attack doctors who speak about covid19  vaccine dangers…,False,99.49%
3,Nan-ching―The Classic of Difficult Issues (Comparative Studies of Health Systems and Medical Care) P0C5EXK… https://t.co/OTysGKYbgO,nanching―the classic of difficult issues comparative studies of health systems and medical care p0c5exk httpstcootysgkybgo,False,99.43%
4,As a community.  We're too happy to get addicted to drugs and then say mental health.,as a community  were too happy to get addicted to drugs and then say mental health,False,98.87%
5,RT @youngvulgarian: it's a sign of a well-functioning health service that realising you're going to need to interact with your GP immediate…,rt youngvulgarian its a sign of a wellfunctioning health service that realising youre going to need to interact with your gp immediate…,False,98.61%
6,"""Policy makers need local information. They need information that can guide their own local policies and help them… https://t.co/1lCctRUHp5",policy makers need local information they need information that can guide their own local policies and help them httpstco1lcctruhp5,False,99.49%
7,"RT @tripplecrown_J: Becuase of my health problem 
I will be back later when Im ready  👌🏻💚💚💚💚💚 https://t.co/d5Yhqo2AWg","rt tripplecrownj becuase of my health problem 
i will be back later when im ready   httpstcod5yhqo2awg",False,99.43%
8,"RT @BBCr4today: ""It's difficult to say they're working effectively when there have been so many changes in Health Secretary""

Dr Tom Roques…","rt bbcr4today its difficult to say theyre working effectively when there have been so many changes in health secretary

dr tom roques…",False,98.87%
9,RT @Andercot: @brodavvg @alexhillphd The context is twitter conversation about advantages in daily life conferred by a specific variant. Th…,rt andercot brodavvg alexhillphd the context is twitter conversation about advantages in daily life conferred by a specific variant th…,False,98.61%
10,"RT @McMisoprostol: ICYMI: I’ve been in Twitter Jail for sharing the official WHO protocol for medication abortion, which Twitter says is “p…",rt mcmisoprostol icymi i’ve been in twitter jail for sharing the official who protocol for medication abortion which twitter says is “p…,False,99.49%
11,RT @LHubich: The Health Ministers conference was doomed to failure. The Premiers had decided to use it as an opportunity to grandstand days…,rt lhubich the health ministers conference was doomed to failure the premiers had decided to use it as an opportunity to grandstand days…,False,99.43%
12,RT @Dr2NisreenAlwan: I think being a Health Secretary during a raging pandemic was the best opportunity anyone can ever get to show humanit…,rt dr2nisreenalwan i think being a health secretary during a raging pandemic was the best opportunity anyone can ever get to show humanit…,False,98.87%
13,"RT @GCICMediaReview: The Ministry of Gender, Labour, and Social Development has introduced an online system to monitor workers across the c…",rt gcicmediareview the ministry of gender labour and social development has introduced an online system to monitor workers across the c…,False,98.61%
14,@Ant10y @QUBFoodProf you  cant assume that. processed foods are not natural. I know more vegan health freaks died o… https://t.co/MnjhVYU80f,ant10y qubfoodprof you  cant assume that processed foods are not natural i know more vegan health freaks died o httpstcomnjhvyu80f,False,99.49%
